company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
ANDHRA PAPER LIMITED,ANDHRAPAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118979_1373851_07022025100957.xml
APL Apollo Tubes Limited,APLAPOLLO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117391_1352483_20012025035239.xml
APRAMEYA ENGINEERING LIMITED,APRAMEYA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117104_1328269_18122024115706.xml
ARIHANT ACADEMY LIMITED,ARIHANTACA,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
ARSS Infrastructure Projects Limited,ARSSINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120616_1384483_14022025051026.xml
ARTEDZ FABS LIMITED,ARTEDZ,NSE,Fourth Quarter,2019-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
ASK Automotive Limited,ASKAUTOLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118019_1364697_29012025050632.xml
ATLANTAA LIMITED,ATLANTAA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119882_1379789_12022025042930.xml
ATN International Limited,ATNINTER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120197_1381557_13022025022806.xml
AU Small Finance Bank Limited,AUBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117651_1360692_24012025062951.xml
AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,APS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_120255_1381944_13022025043136.xml
AVATAR INDUSTRIES LIMITED,AVATAR,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
AVENTUS BUILDCON LIMITED,AVENTUS,NSE,Fourth Quarter,2018-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
AVG Logistics Limited,AVG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120134_1381196_13022025122206.xml
AVRO INDIA LIMITED,AVROIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120677_1384924_14022025061552.xml
AVSL INDUSTRIES LIMITED,AVSL,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
AVT Natural Products Limited,AVTNPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119948_1380109_12022025053723.xml
AWL Agri Business Limited,AWL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117773_1362110_27012025053120.xml
AXISCADES Technologies Limited,AXISCADES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118404_1368158_01022025113142.xml
AYM Syntex Limited,AYMSYNTEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118889_1373153_06022025051729.xml
Aaa Technologies Limited,AAATECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119333_1376188_10022025010138.xml
Aadhar Housing Finance Limited,AADHARHFC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118974_1373823_06022025101157.xml
Aakash Exploration Services Limited,AAKASH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117625_1360406_24012025044811.xml
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120724_1385265_14022025071748.xml
Aaron Industries Limited,AARON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119573_1377891_11022025025810.xml
Aartech Solonics Limited,AARTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119904_1379889_12022025045228.xml
Aarti Drugs Limited,AARTIDRUGS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118115_1365654_30012025020837.xml
Aarti Industries Limited,AARTIIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118440_1368575_01022025073824.xml
Aarti Pharmalabs Limited,AARTIPHARM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118831_1372605_06022025025232.xml
Aarti Surfactants Limited,AARTISURF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119287_1375813_08022025061125.xml
Aarvi Encon Limited,AARVI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119306_1375901_08022025074210.xml
Aavas Financiers Limited,AAVAS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118164_1366141_30012025052521.xml
Aban Offshore Limited,ABAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119697_1378653_11022025070543.xml
Abans Financial Services Limited,AFSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119484_1377298_10022025090017.xml
Abhishek Corporation Limited,ABHISHEK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120563_1384103_14022025035946.xml
Accelya Solutions India Limited,ACCELYA,NSE,Second Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117502_1357366_22012025070902.xml
Accuracy Shipping Limited,ACCURACY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120576_1384225_14022025041938.xml
Ace Integrated Solutions Limited,ACEINTEG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120502_1383722_14022025023240.xml
Acme Solar Holdings Limited,ACMESOLAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118068_1365116_29012025072610.xml
Action Construction Equipment Limited,ACE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119187_1375261_07022025100523.xml
Acutaas Chemicals Limited,ACUTAAS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117986_1364444_29012025035618.xml
Adani Energy Solutions Limited,ADANIENSOL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118643_1370853_04022025072911.xml
Adani Enterprises Limited,ADANIENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118251_1366948_31012025124039.xml
Adani Green Energy Limited,ADANIGREEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117577_1359751_23012025075549.xml
Adani Ports and Special Economic Zone Limited,ADANIPORTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118144_1365888_30012025041037.xml
Adani Power Limited,ADANIPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118034_1364816_29012025053355.xml
Adani Total Gas Limited,ATGL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117797_1362433_27012025084716.xml
Aditya Birla Capital Limited,ABCAPITAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118507_1369533_03022025065913.xml
Aditya Birla Fashion and Retail Limited,ABFRL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120756_1385494_14022025083542.xml
