company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Bliss GVS Pharma Limited,BLISSGVS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118021_1364723_29012025051046.xml
Blue Blends (I) Limited,BLUEBLENDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Blue Chip India Limited,BLUECHIP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119878_1379754_12022025042327.xml
Blue Coast Hotels Limited,BLUECOAST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117350_1350655_18012025035259.xml
Blue Dart Express Limited,BLUEDART,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118287_1367244_31012025040111.xml
Blue Jet Healthcare Limited,BLUEJET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117978_1364374_29012025031659.xml
Blue Star Limited,BLUESTARCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118005_1364561_29012025042748.xml
Bodal Chemicals Limited,BODALCHEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119566_1377848_11022025024525.xml
Bodhi Tree Multimedia Limited,BTML,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120873_1386100_15022025020242.xml
Bohra Industries Limited,BOHRAIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120702_1385117_14022025065053.xml
Bombay Dyeing & Mfg Company Limited,BOMDYEING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118582_1370276_04022025040429.xml
Bombay Super Hybrid Seeds Limited,BSHSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117750_1361542_26012025125447.xml
Borosil Limited,BOROLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119084_1374651_07022025053013.xml
Borosil Scientific Limited,BOROSCI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119639_1378318_11022025053138.xml
Bosch Limited,BOSCHLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117889_1363498_28012025061520.xml
Brainbees Solutions Limited,FIRSTCRY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119313_1375944_08022025091810.xml
Brand Concepts Limited,BCONCEPTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119346_1376296_10022025030416.xml
Brigade Enterprises Limited,BRIGADE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118062_1365067_29012025070253.xml
Brightcom Group Limited,BCG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120760_1385511_14022025084047.xml
Britannia Industries Limited,BRITANNIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118969_1373806_06022025094319.xml
Brooks Laboratories Limited,BROOKS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120376_1382762_13022025071450.xml
Burnpur Cement Limited,BURNPUR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121034_1394650_11032025101306.xml
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119465_1377191_10022025075406.xml
C & C Constructions Limited,CANDC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120785_1385682_14022025105721.xml
C.E. Info Systems Limited,MAPMYINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117988_1364460_29012025040109.xml
CADSYS (INDIA) LIMITED,CADSYS,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CARE Ratings Limited,CARERATING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118303_1367379_31012025045614.xml
CARYSIL LIMITED,CARYSIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119839_1379498_12022025030750.xml
CCL Products (India) Limited,CCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118868_1372928_06022025041746.xml
CEAT Limited,CEATLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117267_1347251_16012025030302.xml
CESC Limited,CESC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117205_1343102_11012025094756.xml
CG Power and Industrial Solutions Limited,CGPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117955_1364192_29012025010421.xml
CHAVDA INFRA LIMITED,CHAVDA,NSE,Second Quarter,2023-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CIE Automotive India Limited,CIEINDIA,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120961_1388737_21022025060754.xml
CKP LEISURE LIMITED,CKPLEISURE,NSE,Second Quarter,2019-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CKP PRODUCTS LIMITED,CKPPRODUCT,NSE,Fourth Quarter,2019-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CL Educate Limited,CLEDUCATE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118591_1370371_04022025043644.xml
CLC Industries Limited,CLCIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120984_1393160_06032025050309.xml
CMI Limited,CMICABLES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CMS Info Systems Limited,CMSINFO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118791_1372221_05022025094134.xml
CONTINENTAL SEEDS AND CHEMICALS LIMITED,CONTI,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_114985_1305051_12112024105345.xml
COOL CAPS INDUSTRIES LIMITED,COOLCAPS,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
COSMO FIRST LIMITED,COSMOFIRST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119667_1378474_11022025060748.xml
CP Capital Limited,CPCAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120722_1385264_14022025071746.xml
CRAYONS ADVERTISING LIMITED,CRAYONS,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED,CGRAPHICS,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_114691_1302624_09112024122130.xml
CREDITACCESS GRAMEEN LIMITED,CREDITACC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117661_1360758_24012025064939.xml
CROP LIFE SCIENCE LIMITED,CLSL,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116652_1314665_15112024030453.xml
CSB Bank Limited,CSBBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117912_1363681_28012025073340.xml
CSL Finance Limited,CSLFINANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119875_1379744_12022025042042.xml
CYBER MEDIA RESEARCH & SERVICES LIMITED,CMRSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119626_1378236_11022025050347.xml
California Software Company Limited,CALSOFT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120789_1385694_14022025110518.xml
Cambridge Technology Enterprises Limited,CTE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120807_1385793_15022025111036.xml
Camlin Fine Sciences Limited,CAMLINFINE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120591_1384320_14022025043602.xml
Campus Activewear Limited,CAMPUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119597_1378067_11022025040525.xml
Can Fin Homes Limited,CANFINHOME,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117373_1351225_18012025074030.xml
Canara Bank,CANBK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117767_1362030_27012025045146.xml
Cantabil Retail India Limited,CANTABIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119377_1376577_10022025045219.xml
Capacit'e Infraprojects Limited,CAPACITE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120664_1384806_14022025055746.xml
Capital Small Finance Bank Limited,CAPITALSFB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118018_1364692_29012025050558.xml
Capital Trust Limited,CAPTRUST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120641_1384683_14022025054028.xml
Caplin Point Laboratories Limited,CAPLIPOINT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119098_1374752_07022025060839.xml
Capri Global Capital Limited,CGCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117675_1360868_24012025074207.xml
Carborundum Universal Limited,CARBORUNIV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120511_1383806_14022025030324.xml
Carraro India Limited,CARRARO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118922_1373495_06022025064201.xml
Cartrade Tech Limited,CARTRADE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118004_1364558_29012025042742.xml
Castrol India Limited,CASTROLIND,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118527_1369709_03022025104324.xml
Ceigall India Limited,CEIGALL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118634_1370788_04022025070330.xml
Celebrity Fashions Limited,CELEBRITY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119957_1380157_12022025054333.xml
Cello World Limited,CELLO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119845_1379535_12022025032522.xml
Cemindia Projects Limited,CEMPRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120236_1381845_13022025040354.xml
Central Bank of India,CENTRALBK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117418_1353740_20012025070541.xml
Central Depository Services (India) Limited,CDSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117709_1361197_25012025022220.xml
Centrum Capital Limited,CENTRUM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117656_1360720_24012025063728.xml
Centum Electronics Limited,CENTUM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120888_1386174_15022025030521.xml
Century Enka Limited,CENTENKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119743_1378875_11022025090836.xml
Century Extrusions Limited,CENTEXT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119653_1378394_11022025054741.xml
Century Plyboards (India) Limited,CENTURYPLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119114_1374858_07022025063347.xml
Cera Sanitaryware Limited,CERA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119618_1378187_11022025045257.xml
Cerebra Integrated Technologies Limited,CEREBRAINT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120707_1385153_14022025065802.xml
Chalet Hotels Limited,CHALET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118088_1365263_29012025083800.xml
Chaman Lal Setia Exports Limited,CLSEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119545_1377715_11022025012528.xml
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118987_1373933_07022025115027.xml
Chembond Material Technologies Limited,CHEMBOND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117636_1360510_24012025052324.xml
Chemcon Speciality Chemicals Limited,CHEMCON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119998_1380395_12022025062953.xml
Chemfab Alkalis Limited,CHEMFAB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118277_1367161_31012025031847.xml
Chemplast Sanmar Limited,CHEMPLASTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119211_1375398_08022025121547.xml
Chennai Petroleum Corporation Limited,CHENNPETRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117369_1351099_18012025055955.xml
Cheviot Company Limited,CHEVIOT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120278_1382103_13022025050344.xml
Choice International Limited,CHOICEIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118153_1366007_30012025044554.xml
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119193_1375294_07022025105031.xml
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118412_1368220_01022025121245.xml
Cigniti Technologies Limited,CIGNITITEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117511_1357495_22012025092606.xml
Cineline India Limited,CINELINE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118518_1369643_03022025082620.xml
Cinevista Limited,CINEVISTA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120275_1382087_13022025050058.xml
Cipla Limited,CIPLA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117946_1364025_29012025113424.xml
City Union Bank Limited,CUB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118370_1367888_31012025073258.xml
Clean Science and Technology Limited,CLEAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118186_1366355_30012025062911.xml
Coal India Limited,COALINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117764_1361971_27012025042033.xml
Coastal Corporation Limited,COASTCORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119847_1379547_12022025033017.xml
Cochin Shipyard Limited,COCHINSHIP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119030_1374247_07022025025228.xml
Coffee Day Enterprises Limited,COFFEEDAY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120465_1383494_14022025124547.xml
Coforge Limited,COFORGE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117559_1359616_23012025064350.xml
Cohance Lifesciences Limited,COHANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120244_1381879_13022025041007.xml
Colgate Palmolive (India) Limited,COLPAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117848_1363067_28012025041806.xml
Commercial Syn Bags Limited,COMSYN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120939_1386666_17022025035759.xml
Compucom Software Limited,COMPUSOFT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119421_1376874_10022025061326.xml
Computer Age Management Services Limited,CAMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117968_1364281_29012025023635.xml
Concord Biotech Limited,CONCORDBIO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120474_1383551_14022025010242.xml
Concord Enviro Systems Limited,CEWATER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120433_1383283_14022025113729.xml
Confidence Petroleum India Limited,CONFIPET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119317_1375958_08022025101317.xml
Consolidated Construction Consortium Limited,CCCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117976_1364353_29012025031019.xml
Consolidated Finvest & Holdings Limited,CONSOFINVT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119641_1378325_11022025053341.xml
Container Corporation of India Limited,CONCOR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118281_1367209_31012025034849.xml
Control Print Limited,CONTROLPR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121035_1394663_11032025104818.xml
Coral India Finance & Housing Limited,CORALFINAC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120277_1382098_13022025050220.xml
Cords Cable Industries Limited,CORDSCABLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119379_1376605_10022025050236.xml
Coromandel International Limited,COROMANDEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118237_1366830_31012025113809.xml
Country Club Hospitality & Holidays Limited,CCHHL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120361_1382664_13022025064710.xml
Country Condo's Limited,COUNCODOS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119645_1378345_11022025053845.xml
Craftsman Automation Limited,CRAFTSMAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118039_1364852_29012025054500.xml
Creative Eye Limited,CREATIVEYE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120340_1382527_13022025061921.xml
Creative Newtech Limited,CNL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118620_1370697_04022025064355.xml
Credo Brands Marketing Limited,MUFTI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118382_1367983_31012025081407.xml
Crest Ventures Limited,CREST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120072_1380790_12022025083130.xml
Crisil Limited,CRISIL,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119483_1377291_10022025085810.xml
Crompton Greaves Consumer Electricals Limited,CROMPTON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119959_1380166_12022025054524.xml
Crown Lifters Limited,CROWN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119526_1377563_11022025115504.xml
Cubex Tubings Limited,CUBEXTUB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120365_1382701_13022025065620.xml
Cummins India Limited,CUMMINSIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118802_1372332_06022025114706.xml
Cupid Limited,CUPID,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120956_1388043_20022025035533.xml
Cura Technologies Limited,CURATECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120309_1382284_13022025053335.xml
Cyber Media (India) Limited,CYBERMEDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119762_1379008_12022025104154.xml
Cybertech Systems And Software Limited,CYBERTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117734_1361364_25012025050024.xml
Cyient DLM Limited,CYIENTDLM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117464_1356771_22012025122751.xml
Cyient Limited,CYIENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117574_1359735_23012025074234.xml
D P Wires Limited,DPWIRES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120856_1386010_15022025125226.xml
D-Link (India) Limited,DLINKINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119090_1374705_07022025055310.xml
D. P. Abhushan Limited,DPABHUSHAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119044_1374328_07022025031906.xml
D.B.Corp Limited,DBCORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117265_1347167_16012025022843.xml
DB (International) Stock Brokers Limited,DBSTOCKBRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117234_1346157_15012025043636.xml
DC Infotech and Communication Limited,DCI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120191_1381535_13022025022416.xml
DCB Bank Limited,DCBBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117634_1360493_24012025051839.xml
DCM  Limited,DCM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120346_1382555_13022025062346.xml
DCM Financial Services Limited,DCMFINSERV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120657_1384784_14022025055424.xml
DCM Nouvelle Limited,DCMNVL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118635_1370791_04022025070408.xml
DCM Shriram Industries Limited,DCMSRIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119915_1379929_12022025050054.xml
DCM Shriram Limited,DCMSHRIRAM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117377_1351325_19012025123241.xml
DCW Limited,DCW,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120299_1382208_13022025051942.xml
DCX Systems Limited,DCXINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118946_1373653_06022025074728.xml
DEE Development Engineers Limited,DEEDEV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120776_1385587_14022025091126.xml
DELPHI WORLD MONEY LIMITED,DELPHIFX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118912_1373361_06022025060519.xml
DESTINY LOGISTICS & INFRA LIMITED,DESTINY,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
DHANUKA INFRA REALTY LIMITED,DIRL,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
DHARAN INFRA-EPC LIMITED,DHARAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121090_1404386_28032025014549.xml
